Datum,Vodostaj_Bileca,Dotok_Prethodni_Dan,Padavine_Trebinje,Temperatura_Vazduha,Doba_Godine,Pritisak_Mreze,Angazovani_Agregati,Preliv_Status,Padavine_Sutra,Padavine_Za2Dana,Promjena_Vodostaja
02.01.2000.,374.9,36.82,11.59,3.0,Zima,Visoko,2,0,1.49,0.0,-0.06
03.01.2000.,374.84,28.97,1.49,-0.4,Zima,Visoko,2,0,0.0,0.0,-0.06
04.01.2000.,374.77,26.19,0.0,-2.7,Zima,Visoko,1,0,0.0,8.09,-0.07
05.01.2000.,374.74,19.55,0.0,4.0,Zima,Visoko,1,0,8.09,0.18,-0.03
06.01.2000.,374.71,26.62,8.09,7.9,Zima,Visoko,1,0,0.18,15.72,-0.03
07.01.2000.,374.72,20.2,0.18,6.3,Zima,Visoko,1,0,15.72,0.0,0.01
08.01.2000.,374.72,40.7,15.72,4.2,Zima,Srednje,1,0,0.0,0.0,0.0
09.01.2000.,374.65,30.89,0.0,5.9,Zima,Visoko,2,0,0.0,0.0,-0.07
10.01.2000.,374.57,25.31,0.0,3.9,Zima,Visoko,2,0,0.0,0.0,-0.08
11.01.2000.,374.52,19.31,0.0,-1.7,Zima,Visoko,1,0,0.0,0.0,-0.05
12.01.2000.,374.48,14.85,0.0,-1.7,Zima,Visoko,1,0,0.0,0.0,-0.04
13.01.2000.,374.51,10.75,0.0,3.2,Zima,Srednje,0,0,0.0,0.0,0.03
14.01.2000.,374.48,11.53,0.0,3.4,Zima,Srednje,0,0,0.0,1.32,-0.03
15.01.2000.,374.44,22.53,0.0,7.4,Zima,Srednje,1,0,1.32,0.0,-0.04
16.01.2000.,374.38,22.17,1.32,7.0,Zima,Visoko,1,0,0.0,0.0,-0.06
17.01.2000.,374.35,19.58,0.0,6.4,Zima,Srednje,1,0,0.0,0.0,-0.03
18.01.2000.,374.28,19.04,0.0,2.9,Zima,Srednje,1,0,0.0,1.96,-0.07
19.01.2000.,374.22,14.83,0.0,-1.5,Zima,Visoko,1,0,1.96,0.0,-0.06
20.01.2000.,374.15,14.48,1.96,5.6,Zima,Visoko,1,0,0.0,0.42,-0.07
21.01.2000.,374.09,10.92,0.0,6.1,Zima,Visoko,1,0,0.42,1.65,-0.06
22.01.2000.,374.01,9.53,0.42,-5.0,Zima,Visoko,1,0,1.65,0.0,-0.08
23.01.2000.,374.01,13.24,1.65,0.7,Zima,Visoko,1,0,0.0,29.66,0.0
24.01.2000.,373.96,13.83,0.0,1.2,Zima,Visoko,1,0,29.66,3.2,-0.05
25.01.2000.,373.9,53.75,29.66,4.5,Zima,Visoko,2,0,3.2,0.0,-0.06
26.01.2000.,373.87,43.66,3.2,0.8,Zima,Srednje,1,0,0.0,5.1,-0.03
27.01.2000.,373.86,37.43,0.0,3.8,Zima,Srednje,1,0,5.1,0.0,-0.01
28.01.2000.,373.81,40.26,5.1,3.2,Zima,Visoko,2,0,0.0,0.0,-0.05
29.01.2000.,373.77,29.13,0.0,3.4,Zima,Visoko,1,0,0.0,0.0,-0.04
30.01.2000.,373.7,26.21,0.0,1.1,Zima,Visoko,1,0,0.0,2.64,-0.07
31.01.2000.,373.69,19.32,0.0,1.4,Zima,Srednje,0,0,2.64,3.29,-0.01
01.02.2000.,373.69,19.02,2.64,-0.3,Zima,Srednje,0,0,3.29,0.0,0.0
02.02.2000.,373.63,27.11,3.29,5.5,Zima,Visoko,1,0,0.0,0.0,-0.06
03.02.2000.,373.59,31.02,0.0,6.3,Zima,Nisko,1,0,0.0,0.0,-0.04
04.02.2000.,373.55,22.67,0.0,0.9,Zima,Srednje,1,0,0.0,13.13,-0.04
05.02.2000.,373.49,16.49,0.0,10.1,Zima,Srednje,1,0,13.13,19.82,-0.06
06.02.2000.,373.45,37.06,13.13,2.7,Zima,Srednje,1,0,19.82,22.44,-0.04
07.02.2000.,373.49,57.87,19.82,10.1,Zima,Visoko,1,0,22.44,0.0,0.04
08.02.2000.,373.42,74.15,22.44,1.4,Zima,Visoko,2,0,0.0,0.0,-0.07
09.02.2000.,373.33,54.28,0.0,-4.1,Zima,Visoko,2,0,0.0,0.0,-0.09
10.02.2000.,373.31,40.63,0.0,5.6,Zima,Visoko,1,0,0.0,0.0,-0.02
11.02.2000.,373.23,30.91,0.0,5.0,Zima,Visoko,2,0,0.0,0.0,-0.08
12.02.2000.,373.23,23.32,0.0,4.1,Zima,Visoko,1,0,0.0,0.0,0.0
13.02.2000.,373.22,24.37,0.0,1.4,Zima,Nisko,1,0,0.0,3.88,-0.01
14.02.2000.,373.24,17.67,0.0,3.9,Zima,Nisko,0,0,3.88,0.0,0.02
15.02.2000.,373.2,19.49,3.88,2.0,Zima,Visoko,1,0,0.0,0.0,-0.04
16.02.2000.,373.21,16.34,0.0,2.8,Zima,Srednje,0,0,0.0,0.0,0.01
17.02.2000.,373.18,12.04,0.0,7.4,Zima,Visoko,1,0,0.0,0.68,-0.03
18.02.2000.,373.19,9.02,0.0,4.7,Zima,Srednje,0,0,0.68,13.02,0.01
19.02.2000.,373.1,9.52,0.68,6.4,Zima,Visoko,1,0,13.02,0.0,-0.09
20.02.2000.,373.07,26.78,13.02,3.1,Zima,Visoko,1,0,0.0,0.0,-0.03
21.02.2000.,373.04,23.1,0.0,2.6,Zima,Nisko,1,0,0.0,10.8,-0.03
22.02.2000.,373.04,16.93,0.0,-0.6,Zima,Srednje,0,0,10.8,12.98,0.0
23.02.2000.,373.0,31.42,10.8,2.5,Zima,Visoko,1,0,12.98,0.0,-0.04
24.02.2000.,372.99,46.35,12.98,-5.0,Zima,Srednje,1,0,0.0,0.0,-0.01
25.02.2000.,372.98,33.66,0.0,1.6,Zima,Srednje,1,0,0.0,0.0,-0.01
26.02.2000.,372.9,25.17,0.0,3.7,Zima,Visoko,2,0,0.0,8.59,-0.08
27.02.2000.,372.9,22.01,0.0,6.3,Zima,Visoko,1,0,8.59,0.0,0.0
28.02.2000.,372.88,31.45,8.59,2.9,Zima,Visoko,1,0,0.0,0.0,-0.02
29.02.2000.,372.82,24.93,0.0,5.4,Zima,Srednje,1,0,0.0,0.0,-0.06
01.03.2000.,372.74,23.42,0.0,5.3,Proljece,Srednje,1,0,0.0,0.0,-0.08
02.03.2000.,372.74,44.87,0.0,13.8,Proljece,Srednje,1,0,0.0,33.49,0.0
03.03.2000.,372.68,41.88,0.0,7.3,Proljece,Srednje,1,0,33.49,21.09,-0.06
04.03.2000.,372.76,224.21,33.49,9.2,Proljece,Srednje,2,0,21.09,0.0,0.08
05.03.2000.,372.87,297.45,21.09,13.3,Proljece,Nisko,2,0,0.0,47.2,0.11
06.03.2000.,372.96,257.48,0.0,19.1,Proljece,Visoko,3,0,47.2,48.64,0.09
07.03.2000.,373.28,450.0,47.2,15.5,Proljece,Visoko,2,0,48.64,0.0,0.32
08.03.2000.,373.55,450.0,48.64,14.1,Proljece,Srednje,2,1,0.0,0.0,0.27
09.03.2000.,373.75,347.8,0.0,13.9,Proljece,Visoko,2,0,0.0,0.0,0.2
10.03.2000.,373.91,268.53,0.0,11.1,Proljece,Srednje,2,0,0.0,0.0,0.16
11.03.2000.,373.96,213.28,0.0,11.8,Proljece,Nisko,2,0,0.0,0.0,0.05
12.03.2000.,373.98,183.18,0.0,15.7,Proljece,Visoko,2,0,0.0,0.0,0.02
13.03.2000.,374.02,142.84,0.0,8.5,Proljece,Visoko,2,0,0.0,12.45,0.04
14.03.2000.,374.02,134.61,0.0,16.4,Proljece,Srednje,2,0,12.45,0.0,0.0
15.03.2000.,374.09,183.58,12.45,12.4,Proljece,Nisko,1,0,0.0,9.46,0.07
16.03.2000.,374.15,170.32,0.0,17.3,Proljece,Visoko,2,0,9.46,0.0,0.06
17.03.2000.,374.26,213.08,9.46,17.8,Proljece,Nisko,1,0,0.0,8.57,0.11
18.03.2000.,374.31,160.89,0.0,7.3,Proljece,Srednje,2,0,8.57,0.0,0.05
19.03.2000.,374.42,180.54,8.57,11.7,Proljece,Nisko,1,0,0.0,0.0,0.11
20.03.2000.,374.43,145.08,0.0,10.6,Proljece,Visoko,2,0,0.0,0.0,0.01
21.03.2000.,374.46,107.36,0.0,6.7,Proljece,Srednje,1,0,0.0,54.48,0.03
22.03.2000.,374.45,89.01,0.0,9.9,Proljece,Visoko,2,0,54.48,67.7,-0.01
23.03.2000.,374.69,414.17,54.48,23.8,Proljece,Srednje,2,0,67.7,6.81,0.24
24.03.2000.,374.91,450.0,67.7,16.4,Proljece,Srednje,3,0,6.81,25.58,0.22
25.03.2000.,375.14,410.1,6.81,21.7,Proljece,Visoko,2,0,25.58,74.72,0.23
26.03.2000.,375.46,450.0,25.58,17.3,Proljece,Nisko,2,0,74.72,0.0,0.32
27.03.2000.,375.74,450.0,74.72,11.0,Proljece,Srednje,2,0,0.0,0.0,0.28
28.03.2000.,375.93,347.55,0.0,12.5,Proljece,Srednje,2,0,0.0,0.0,0.19
29.03.2000.,376.03,286.09,0.0,16.4,Proljece,Visoko,3,0,0.0,0.0,0.1
30.03.2000.,376.12,237.37,0.0,15.8,Proljece,Nisko,2,0,0.0,65.05,0.09
31.03.2000.,376.18,192.52,0.0,11.7,Proljece,Srednje,2,0,65.05,0.0,0.06
01.04.2000.,376.46,450.0,65.05,8.0,Proljece,Srednje,2,0,0.0,0.0,0.28
02.04.2000.,376.69,394.3,0.0,27.2,Proljece,Nisko,2,0,0.0,0.0,0.23
03.04.2000.,376.88,306.51,0.0,13.4,Proljece,Nisko,1,0,0.0,0.0,0.19
04.04.2000.,376.96,242.48,0.0,12.7,Proljece,Srednje,2,0,0.0,0.0,0.08
05.04.2000.,377.01,200.5,0.0,14.5,Proljece,Srednje,2,0,0.0,0.0,0.05
06.04.2000.,377.02,168.17,0.0,13.0,Proljece,Nisko,2,0,0.0,12.88,0.01
07.04.2000.,377.02,150.25,0.0,14.5,Proljece,Srednje,2,0,12.88,0.0,0.0
08.04.2000.,377.11,219.81,12.88,19.1,Proljece,Visoko,2,1,0.0,14.92,0.09
09.04.2000.,377.23,182.4,0.0,13.5,Proljece,Nisko,1,0,14.92,108.31,0.12
10.04.2000.,377.31,223.33,14.92,9.3,Proljece,Srednje,2,0,108.31,0.0,0.08
